Date,Close,MACD
2000-01-04,6110.0,0.0
2000-01-05,5580.0,-11.891025641026316
2000-01-06,5620.0,-13.911129272204562
2000-01-07,5540.0,-17.377355074592742
2000-01-10,5770.0,-9.742783935605075
2000-01-11,5770.0,-4.970239362419306
2000-01-12,5720.0,-4.089033647625001
2000-01-13,5710.0,-3.908010021885275
2000-01-14,5830.0,2.230444279204676
2000-01-17,6100.0,20.45997152600012
2000-01-18,6100.0,33.345982902309515
2000-01-19,5960.0,34.64936077292623
2000-01-20,6040.0,39.6753967050945
2000-01-21,5880.0,33.649163604824025
2000-01-24,5700.0,17.993656269722123
2000-01-25,5440.0,-9.88072084250689
2000-01-26,5480.0,-28.540818098451386
2000-01-27,5520.0,-39.95906816035949
2000-01-28,5820.0,-29.003427786551583
2000-01-31,5580.0,-35.85365107123107
2000-02-01,5320.0,-57.9180116262587
2000-02-02,5250.0,-79.00570003841585
2000-02-03,5130.0,-102.57613100555228
2000-02-04,5130.0,-119.67203496024833
2000-02-07,5240.0,-123.91367463147436
2000-02-08,5430.0,-112.42226754216608
2000-02-09,5720.0,-81.59936209089483
2000-02-10,5760.0,-53.75455139784299
2000-02-11,5700.0,-35.72918359436153
2000-02-14,5380.0,-44.48438554186305
2000-02-15,5200.0,-63.97176037376721
2000-02-16,5000.0,-93.18013953940137
2000-02-17,5080.0,-109.00930795876955
2000-02-18,5300.0,-103.74591336893444
2000-02-21,5070.0,-115.64819534839536
2000-02-22,5120.0,-119.86681704526382
2000-02-23,5140.0,-120.2777886822514
2000-02-24,5070.0,-124.52556018033374
2000-02-25,5120.0,-122.61331359442283
2000-02-28,4800.0,-144.15419727781045
2000-02-29,5120.0,-134.83846780585918
2000-03-01,5120.0,-125.99942383089184
2000-03-02,5880.0,-59.0545655277374
2000-03-03,6000.0,3.31236317413277
2000-03-06,5640.0,24.224651979056944
2000-03-07,5620.0,38.770870219989774
2000-03-08,5920.0,73.05499156805945
2000-03-09,5620.0,75.68914350788327
2000-03-10,5540.0,70.64110995577357
2000-03-13,5180.0,37.72974279497976
2000-03-14,5210.0,13.870310550760223
2000-03-15,5400.0,9.923191947211308
2000-03-16,5400.0,6.71811535400866
2000-03-17,5480.0,10.419748972710297
2000-03-20,5660.0,27.365770734574653
2000-03-21,5880.0,57.65843513026357
2000-03-22,6200.0,105.9616960983958
2000-03-23,6200.0,142.5905687951099
2000-03-24,6800.0,217.04565964351968
2000-03-27,6800.0,272.89462579062456
2000-03-28,7030.0,331.72316572363343
2000-03-29,7660.0,423.8846722884791
2000-03-30,7050.0,442.9409098611859
2000-03-31,6700.0,425.0844995006282
2000-04-03,7100.0,437.9560299597297
2000-04-04,6800.0,419.2509576613702
2000-04-05,6800.0,399.8151565064745
2000-04-06,6680.0,370.5035893152972
2000-04-07,7200.0,384.60576160039454
2000-04-10,7300.0,399.2111616696993
2000-04-11,7100.0,390.20961596598863
2000-04-12,6910.0,363.6065659516835
2000-04-13,6910.0,338.6187418167883
2000-04-14,6260.0,263.491511615749
2000-04-17,5520.0,142.76869365167295
2000-04-18,6040.0,87.93132594667622
2000-04-19,6000.0,40.7835514221033
2000-04-20,6020.0,4.972369871526098
2000-04-21,6050.0,-20.75264609417991
2000-04-24,5800.0,-60.57423604957057
2000-04-25,5640.0,-103.8224974325458
2000-04-26,5600.0,-139.70772245489115
2000-04-27,5400.0,-182.15932042016172
2000-04-28,6000.0,-165.54811519043596
2000-05-01,6000.0,-150.6468692018634
2000-05-02,6280.0,-114.94669868775418
2000-05-03,6180.0,-93.63476900815476
2000-05-04,6180.0,-75.8703738497934
2000-05-05,6180.0,-61.08782208340017
2000-05-08,6560.0,-18.524173577419788
2000-05-09,6560.0,15.034176647269303
2000-05-10,6350.0,24.415667493121877
2000-05-11,6350.0,31.48749491263152
2000-05-12,6160.0,21.522641573116744
2000-05-15,6440.0,35.792511428297985
2000-05-16,6800.0,75.26604699379186
2000-05-17,6920.0,114.90214251052656
2000-05-18,6800.0,135.07839754131783
2000-05-19,6900.0,157.32001197352383
2000-05-22,6670.0,154.61290660068698
2000-05-23,6380.0,127.60502399931192
2000-05-24,6200.0,90.63705115246104
2000-05-25,6000.0,44.69164033487141
2000-05-26,5600.0,-23.71359268310698
2000-05-29,5460.0,-88.20186447532615
2000-05-30,5460.0,-137.72149536772122
2000-05-31,6160.0,-119.1225633480326
2000-06-01,6300.0,-92.0276775090415
2000-06-02,6620.0,-44.22909012041873
2000-06-05,6740.0,3.2946789957268265
2000-06-06,6740.0,40.490765985635335
2000-06-07,6800.0,73.95701219171224
2000-06-08,6530.0,77.79899812774693
2000-06-09,7020.0,119.00517737589416
2000-06-12,7190.0,163.4923999517514
2000-06-13,7060.0,186.11471432679627
2000-06-14,7640.0,247.98024594856545
2000-06-15,7000.0,242.575553102306
2000-06-16,6740.0,214.83796276683188
2000-06-19,6700.0,187.4673319229587
2000-06-20,7140.0,198.9834914659896
2000-06-21,7080.0,200.9525144831723
2000-06-22,7040.0,197.0144571320825
2000-06-23,7000.0,188.4932131134001
2000-06-26,7210.0,196.420041910098
2000-06-27,7310.0,208.36884251412903
